application_id: 6	name: MCS_distance_10_frames_10_numberofspots_1000_sigmamean_10.0_sigmastd_3.33333333333_sample-heterogeneity_2.0_0.txt	filepath: /Volumes/sniekamp/TIRF-Data/20170123_Nanoruler/20170123_40nm_20x20beads_1	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x	y	intensity	background	width	a	theta	sigma	intensity_aperture	background_aperture	intensity_ratio	m_sigma	integral_aperture_sigma
1	1	1	1	1	1	1	12486.601538	12491.6524237	1	1	1	1	1	9.10622816897	1	1	1	9.10622816897	9.10622816897
2	1	1	1	2	1	1	12496.5798456	12510.5444676	1	1	1	1	1	6.13469504641	1	1	1	6.13469504641	6.13469504641
3	1	1	1	3	1	1	12505.8723837	12485.7755973	1	1	1	1	1	7.01826473485	1	1	1	7.01826473485	7.01826473485
4	1	1	1	4	1	1	12500.4459354	12510.3740363	1	1	1	1	1	8.67976089592	1	1	1	8.67976089592	8.67976089592
5	1	1	1	5	1	1	12481.5153967	12469.4193367	1	1	1	1	1	16.5591194778	1	1	1	16.5591194778	16.5591194778
6	1	1	1	6	1	1	12508.6649321	12500.9447107	1	1	1	1	1	13.838413714	1	1	1	13.838413714	13.838413714
7	1	1	1	7	1	1	12511.8935217	12475.6634331	1	1	1	1	1	13.6465319672	1	1	1	13.6465319672	13.6465319672
8	1	1	1	8	1	1	12509.8082647	12498.4371572	1	1	1	1	1	9.36239760628	1	1	1	9.36239760628	9.36239760628
9	1	1	1	9	1	1	12509.018022	12501.454314	1	1	1	1	1	13.3456273187	1	1	1	13.3456273187	13.3456273187
10	1	1	1	10	1	1	12504.8271485	12501.2764599	1	1	1	1	1	14.2700463824	1	1	1	14.2700463824	14.2700463824
11	1	1	1	11	1	1	12503.981511	12503.3478742	1	1	1	1	1	19.0056103811	1	1	1	19.0056103811	19.0056103811
12	1	1	1	12	1	1	12506.3011304	12509.0957173	1	1	1	1	1	15.6625154851	1	1	1	15.6625154851	15.6625154851
13	1	1	1	13	1	1	12476.9089366	12516.8275704	1	1	1	1	1	13.9003551034	1	1	1	13.9003551034	13.9003551034
14	1	1	1	14	1	1	12501.9198164	12494.2443223	1	1	1	1	1	11.8082756193	1	1	1	11.8082756193	11.8082756193
15	1	1	1	15	1	1	12498.3917644	12498.3356747	1	1	1	1	1	5.47286972363	1	1	1	5.47286972363	5.47286972363
16	1	1	1	16	1	1	12469.1742484	12492.7787098	1	1	1	1	1	10.7890756249	1	1	1	10.7890756249	10.7890756249
17	1	1	1	17	1	1	12521.4959291	12488.5236287	1	1	1	1	1	17.9216720691	1	1	1	17.9216720691	17.9216720691
18	1	1	1	18	1	1	12480.8076703	12487.2646574	1	1	1	1	1	11.2108753194	1	1	1	11.2108753194	11.2108753194
19	1	1	1	19	1	1	12506.0799024	12505.4039349	1	1	1	1	1	5.89937610679	1	1	1	5.89937610679	5.89937610679
20	1	1	1	20	1	1	12473.7136402	12502.8906404	1	1	1	1	1	13.2032291459	1	1	1	13.2032291459	13.2032291459
21	1	1	1	21	1	1	12520.189577	12481.1250322	1	1	1	1	1	15.5665646585	1	1	1	15.5665646585	15.5665646585
22	1	1	1	22	1	1	12501.7246422	12500.3208396	1	1	1	1	1	6.47966421696	1	1	1	6.47966421696	6.47966421696
23	1	1	1	23	1	1	12508.462759	12502.8625041	1	1	1	1	1	8.69167219135	1	1	1	8.69167219135	8.69167219135
24	1	1	1	24	1	1	12512.4686636	12505.4715885	1	1	1	1	1	12.0479127381	1	1	1	12.0479127381	12.0479127381
25	1	1	1	25	1	1	12490.7086928	12509.795424	1	1	1	1	1	5.38839233046	1	1	1	5.38839233046	5.38839233046
26	1	1	1	26	1	1	12487.5991738	12495.8799408	1	1	1	1	1	9.44718488492	1	1	1	9.44718488492	9.44718488492
27	1	1	1	27	1	1	12522.3643929	12498.2783969	1	1	1	1	1	10.8452591573	1	1	1	10.8452591573	10.8452591573
28	1	1	1	28	1	1	12513.4081923	12493.0231721	1	1	1	1	1	10.398658852	1	1	1	10.398658852	10.398658852
29	1	1	1	29	1	1	12499.6252716	12496.7182131	1	1	1	1	1	11.6131824915	1	1	1	11.6131824915	11.6131824915
30	1	1	1	30	1	1	12491.19782	12478.7096435	1	1	1	1	1	13.2327102404	1	1	1	13.2327102404	13.2327102404
31	1	1	1	31	1	1	12506.3838076	12505.6453439	1	1	1	1	1	8.2187381039	1	1	1	8.2187381039	8.2187381039
32	1	1	1	32	1	1	12502.3362928	12500.9664542	1	1	1	1	1	11.3925607378	1	1	1	11.3925607378	11.3925607378
33	1	1	1	33	1	1	12503.493517	12501.8599382	1	1	1	1	1	9.99569675145	1	1	1	9.99569675145	9.99569675145
34	1	1	1	34	1	1	12492.7907005	12498.9059876	1	1	1	1	1	7.43107328134	1	1	1	7.43107328134	7.43107328134
35	1	1	1	35	1	1	12493.5536713	12504.287166	1	1	1	1	1	7.97349897813	1	1	1	7.97349897813	7.97349897813
36	1	1	1	36	1	1	12483.4609569	12499.8145057	1	1	1	1	1	9.07971581802	1	1	1	9.07971581802	9.07971581802
37	1	1	1	37	1	1	12520.4889498	12489.2017023	1	1	1	1	1	11.2106381808	1	1	1	11.2106381808	11.2106381808
38	1	1	1	38	1	1	12482.2851296	12513.9499342	1	1	1	1	1	10.0686233771	1	1	1	10.0686233771	10.0686233771
39	1	1	1	39	1	1	12499.8234246	12495.9462178	1	1	1	1	1	3.02040316863	1	1	1	3.02040316863	3.02040316863
40	1	1	1	40	1	1	12514.7420251	12498.9251801	1	1	1	1	1	9.23879226151	1	1	1	9.23879226151	9.23879226151
41	1	1	1	41	1	1	12498.08075	12497.9202456	1	1	1	1	1	9.36971291322	1	1	1	9.36971291322	9.36971291322
42	1	1	1	42	1	1	12507.52014	12509.9637457	1	1	1	1	1	10.8265682235	1	1	1	10.8265682235	10.8265682235
43	1	1	1	43	1	1	12498.7826711	12509.2715421	1	1	1	1	1	4.8304832747	1	1	1	4.8304832747	4.8304832747
44	1	1	1	44	1	1	12505.4708903	12504.5801186	1	1	1	1	1	9.87792749851	1	1	1	9.87792749851	9.87792749851
45	1	1	1	45	1	1	12498.2429934	12497.6427902	1	1	1	1	1	4.0485942706	1	1	1	4.0485942706	4.0485942706
46	1	1	1	46	1	1	12517.3294763	12507.3804344	1	1	1	1	1	9.12083879184	1	1	1	9.12083879184	9.12083879184
