application_id: 1	name: MCS_distance_20.0_sigmaloc1_10.0_sigmaloc2_10.0_sigmasigmaloc1_2.0_sigmasigmaloc2_2.0_frames_10_numberofspots_1000_sample-heterogeneity_0_repeat_1.txt	filepath: /Volumes/blank	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x(nm)	y(nm)	intensity	background	width	a	theta	sigma	int_ratio	alt_sigma	intensity_aperture	background_aperture
1	1	1	1	1	1	1	12491.692329	12507.3626758	1	1	1	1	1	12.0297540689	1	1	1	1
2	2	1	1	1	1	1	12505.5045879	12496.3852187	1	1	1	1	1	8.1661095002	1	1	1	1
3	3	1	1	1	1	1	12493.9086746	12504.5970326	1	1	1	1	1	9.73744551725	1	1	1	1
4	4	1	1	1	1	1	12498.6938059	12483.1494058	1	1	1	1	1	9.89289129962	1	1	1	1
5	5	1	1	1	1	1	12515.3457824	12497.9404349	1	1	1	1	1	8.47490648151	1	1	1	1
6	6	1	1	1	1	1	12488.7769993	12521.9076336	1	1	1	1	1	9.66033376089	1	1	1	1
7	7	1	1	1	1	1	12502.5830752	12508.8258982	1	1	1	1	1	6.4092474779	1	1	1	1
8	8	1	1	1	1	1	12499.5250338	12499.6321486	1	1	1	1	1	8.64475190541	1	1	1	1
9	9	1	1	1	1	1	12497.7956156	12489.0159686	1	1	1	1	1	7.90473751249	1	1	1	1
10	10	1	1	1	1	1	12498.4266691	12493.3231764	1	1	1	1	1	10.1303919288	1	1	1	1
11	1	1	2	1	1	1	12514.2890634	12490.1676444	1	1	1	1	1	11.0687021391	1	1	1	1
12	2	1	2	1	1	1	12534.2882519	12507.4142867	1	1	1	1	1	13.1687210907	1	1	1	1
13	3	1	2	1	1	1	12507.7761447	12500.0970951	1	1	1	1	1	10.4239092178	1	1	1	1
14	4	1	2	1	1	1	12523.6352263	12510.3103923	1	1	1	1	1	12.4650497116	1	1	1	1
15	5	1	2	1	1	1	12528.5115103	12497.5697068	1	1	1	1	1	8.95975130289	1	1	1	1
16	6	1	2	1	1	1	12514.9323382	12495.9440292	1	1	1	1	1	7.56186155429	1	1	1	1
17	7	1	2	1	1	1	12521.0491551	12507.3187628	1	1	1	1	1	11.5324785757	1	1	1	1
18	8	1	2	1	1	1	12524.5665009	12501.8353478	1	1	1	1	1	8.3869901696	1	1	1	1
19	9	1	2	1	1	1	12532.8604264	12503.4532781	1	1	1	1	1	8.40614775983	1	1	1	1
20	10	1	2	1	1	1	12516.5841843	12488.6256209	1	1	1	1	1	9.11072454107	1	1	1	1
21	1	1	1	2	1	1	12501.7647892	12489.4814835	1	1	1	1	1	9.92504385455	1	1	1	1
22	2	1	1	2	1	1	12497.4748927	12522.0726387	1	1	1	1	1	9.91096222065	1	1	1	1
23	3	1	1	2	1	1	12513.4882483	12501.6608226	1	1	1	1	1	9.17793723508	1	1	1	1
24	4	1	1	2	1	1	12491.5089297	12491.0484111	1	1	1	1	1	9.97395140159	1	1	1	1
25	5	1	1	2	1	1	12490.0669684	12506.0027598	1	1	1	1	1	10.6140496088	1	1	1	1
26	6	1	1	2	1	1	12492.3774374	12498.3726077	1	1	1	1	1	7.60281197039	1	1	1	1
27	7	1	1	2	1	1	12515.9214784	12499.6681646	1	1	1	1	1	11.1039434115	1	1	1	1
28	8	1	1	2	1	1	12500.7476481	12498.0509583	1	1	1	1	1	12.2888640916	1	1	1	1
29	9	1	1	2	1	1	12498.5895747	12507.0775435	1	1	1	1	1	8.6463584838	1	1	1	1
30	10	1	1	2	1	1	12501.2885676	12511.3215296	1	1	1	1	1	11.5541729483	1	1	1	1
31	1	1	2	2	1	1	12520.9929159	12490.5639709	1	1	1	1	1	9.03048208989	1	1	1	1
32	2	1	2	2	1	1	12513.2428674	12476.7185258	1	1	1	1	1	9.39845435643	1	1	1	1
